          table_name           |     column_name      |     data_type     | is_nullable 
-------------------------------+----------------------+-------------------+-------------
 eu_bassin_versant             | gid                  | integer           | NO
 eu_bassin_versant             | no_obj               | character         | YES
 eu_bassin_versant             | no_obj2              | character         | YES
 eu_bassin_versant             | contenu              | character         | YES
 eu_bassin_versant             | utilisat             | character         | YES
 eu_bassin_versant             | proprio              | character         | YES
 eu_bassin_versant             | precis_pl            | character         | YES
 eu_bassin_versant             | no_ssbv              | character         | YES
 eu_bassin_versant             | sys_evac             | character         | YES
 eu_bassin_versant             | sys_evac_fut         | character         | YES
 eu_bassin_versant             | evac_ec              | character         | YES
 eu_bassin_versant             | evac_ec_fut          | character         | YES
 eu_bassin_versant             | pente_pc             | double precision  | YES
 eu_bassin_versant             | nb_ehdom_act         | double precision  | YES
 eu_bassin_versant             | nb_ehtot_act         | double precision  | YES
 eu_bassin_versant             | nb_ehdom_sat         | double precision  | YES
 eu_bassin_versant             | nb_ehtot_sat         | double precision  | YES
 eu_bassin_versant             | cr_act               | double precision  | YES
 eu_bassin_versant             | cr_sat               | double precision  | YES
 eu_bassin_versant             | qmax_constr          | double precision  | YES
 eu_bassin_versant             | qmax_ssbv            | double precision  | YES
 eu_bassin_versant             | area_satred_ha       | double precision  | YES
 eu_bassin_versant             | obj_lie              | character         | YES
 eu_bassin_versant             | d_coordn             | double precision  | YES
 eu_bassin_versant             | d_coorde             | double precision  | YES
 eu_bassin_versant             | d_color              | character         | YES
 eu_bassin_versant             | d_size               | double precision  | YES
 eu_bassin_versant             | remarque             | character         | YES
 eu_bassin_versant             | maj_date             | date              | YES
 eu_bassin_versant             | area                 | double precision  | YES
 eu_bassin_versant             | geom                 | USER-DEFINED      | YES
 eu_bassin_versant             | pk_uuid              | uuid              | NO
 eu_bassin_versant             | data_owner           | character varying | YES
 eu_ce_tr                      | gid                  | integer           | NO
 eu_ce_tr                      | nom_ce               | character         | YES
 eu_ce_tr                      | no_tr                | character         | YES
 eu_ce_tr                      | etat_tr              | character         | YES
 eu_ce_tr                      | morphologie_lit      | character         | YES
 eu_ce_tr                      | etat_berge           | character         | YES
 eu_ce_tr                      | etat_dyn             | character         | YES
 eu_ce_tr                      | rempl_proj_an        | integer           | YES
 eu_ce_tr                      | estim_date           | date              | YES
 eu_ce_tr                      | etat_constr          | character varying | YES
 eu_ce_tr                      | remarque             | character varying | YES
 eu_ce_tr                      | hierarchie           | character varying | YES
 eu_ce_tr                      | maj_date             | date              | YES
 eu_ce_tr                      | length               | double precision  | YES
 eu_ce_tr                      | geom                 | USER-DEFINED      | YES
 eu_ce_tr                      | pk_uuid              | uuid              | NO
 eu_ce_tr                      | data_owner           | character varying | YES
 eu_chambre                    | gid                  | integer           | NO
 eu_chambre                    | no_obj               | character         | YES
 eu_chambre                    | no_obj_2             | character         | YES
 eu_chambre                    | contenu              | character         | YES
 eu_chambre                    | utilisat             | character         | YES
 eu_chambre                    | proprio              | character         | YES
 eu_chambre                    | nom_comm             | character         | YES
 eu_chambre                    | no_comm              | character         | YES
 eu_chambre                    | coord_nord           | double precision  | YES
 eu_chambre                    | coord_est            | double precision  | YES
 eu_chambre                    | mode_acqui           | character         | YES
 eu_chambre                    | precis_pl            | character         | YES
 eu_chambre                    | fonction             | character         | YES
 eu_chambre                    | hierarchie           | character         | YES
 eu_chambre                    | accessibilite        | character         | YES
 eu_chambre                    | proprio_chgt         | boolean           | YES
 eu_chambre                    | ch_dbl_on            | boolean           | YES
 eu_chambre                    | alt_couv             | double precision  | YES
 eu_chambre                    | alt_radi             | double precision  | YES
 eu_chambre                    | profondeur           | double precision  | YES
 eu_chambre                    | fond_mtx             | character         | YES
 eu_chambre                    | cheminee_mtx         | character         | YES
 eu_chambre                    | contenu_fut          | character         | YES
 eu_chambre                    | ref_dossier          | character         | YES
 eu_chambre                    | ref_plan             | character         | YES
 eu_chambre                    | constr_an            | integer           | YES
 eu_chambre                    | insp_date            | date              | YES
 eu_chambre                    | insp_interv          | double precision  | YES
 eu_chambre                    | etat_constr          | character         | YES
 eu_chambre                    | necess_ass           | character         | YES
 eu_chambre                    | curage_date          | date              | YES
 eu_chambre                    | curage_int           | double precision  | YES
 eu_chambre                    | curage_on            | boolean           | YES
 eu_chambre                    | sct_interv           | character         | YES
 eu_chambre                    | diam_couv            | double precision  | YES
 eu_chambre                    | diam_chambre         | double precision  | YES
 eu_chambre                    | remarque             | character         | YES
 eu_chambre                    | an_rem_proj          | character         | YES
 eu_chambre                    | type_ouvr            | character         | YES
 eu_chambre                    | type_couv            | character         | YES
 eu_chambre                    | crea_date            | date              | YES
 eu_chambre                    | releve_date          | date              | YES
 eu_chambre                    | releve_geom_date     | date              | YES
 eu_chambre                    | releve_tech_date     | date              | YES
 eu_chambre                    | rempl_proj_an        | integer           | YES
 eu_chambre                    | maj_aut              | character varying | YES
 eu_chambre                    | crea_fiche_aut       | character varying | YES
 eu_chambre                    | crea_fiche_date      | date              | YES
 eu_chambre                    | estim_date           | date              | YES
 eu_chambre                    | dim_ch               | character varying | YES
 eu_chambre                    | couv_mtx             | character varying | YES
 eu_chambre                    | chem_mtx             | character varying | YES
 eu_chambre                    | maj_date             | date              | YES
 eu_chambre                    | file1                | character         | YES
 eu_chambre                    | lien1qgis            | character         | YES
 eu_chambre                    | lien1gmf             | character         | YES
 eu_chambre                    | file2                | character         | YES
 eu_chambre                    | lien2qgis            | character         | YES
 eu_chambre                    | lien2gmf             | character         | YES
 eu_chambre                    | file3                | character         | YES
 eu_chambre                    | lien3qgis            | character         | YES
 eu_chambre                    | lien3gmf             | character         | YES
 eu_chambre                    | file4                | character         | YES
 eu_chambre                    | lien4qgis            | character         | YES
 eu_chambre                    | lien4gmf             | character         | YES
 eu_chambre                    | geom                 | USER-DEFINED      | YES
 eu_chambre                    | pk_uuid              | uuid              | NO
 eu_chambre                    | data_owner           | character varying | YES
 eu_chambre_action             | gid                  | integer           | NO
 eu_chambre_action             | action_type          | character         | YES
 eu_chambre_action             | action_date          | date              | YES
 eu_chambre_action             | action_entr          | character         | YES
 eu_chambre_action             | action_ref           | character         | YES
 eu_chambre_action             | utilisat             | character         | YES
 eu_chambre_action             | chantier             | character         | YES
 eu_chambre_action             | act_couts_chf        | integer           | YES
 eu_chambre_action             | act_couts_reels_chf  | integer           | YES
