             table_name              |          column_name           |     data_type     | character_maximum_length | is_nullable 
-------------------------------------+--------------------------------+-------------------+--------------------------+-------------
 ad_ch_entr_rcb_p                    | gid                            | integer           |                          | NO
 ad_ch_entr_rcb_p                    | numero_entreprise              | integer           |                          | YES
 ad_ch_entr_rcb_p                    | raison_sociale_1               | character varying |                      100 | YES
 ad_ch_entr_rcb_p                    | raison_sociale_2               | character varying |                      100 | YES
 ad_ch_entr_rcb_p                    | activite_economique_code       | character varying |                       10 | YES
 ad_ch_entr_rcb_p                    | activite_economique_libelle    | character varying |                      200 | YES
 ad_ch_entr_rcb_p                    | description_activite           | character varying |                     2000 | YES
 ad_ch_entr_rcb_p                    | numero_federal_rc              | character varying |                       20 | YES
 ad_ch_entr_rcb_p                    | base_complement_1              | character varying |                       60 | YES
 ad_ch_entr_rcb_p                    | base_complement_2              | character varying |                       60 | YES
 ad_ch_entr_rcb_p                    | base_rue_libelle               | character varying |                       60 | YES
 ad_ch_entr_rcb_p                    | base_rue_no_batiment           | character varying |                       18 | YES
 ad_ch_entr_rcb_p                    | base_case_postale              | character varying |                       60 | YES
 ad_ch_entr_rcb_p                    | base_batiments                 | character varying |                       60 | YES
 ad_ch_entr_rcb_p                    | base_localite_suisse           | character varying |                       60 | YES
 ad_ch_entr_rcb_p                    | courrier_complement_1          | character varying |                       60 | YES
 ad_ch_entr_rcb_p                    | courrier_complement_2          | character varying |                       60 | YES
 ad_ch_entr_rcb_p                    | courrier_rue_libelle           | character varying |                       60 | YES
 ad_ch_entr_rcb_p                    | courrier_rue_no_batiment       | character varying |                       18 | YES
 ad_ch_entr_rcb_p                    | courrier_case_postale          | character varying |                       60 | YES
 ad_ch_entr_rcb_p                    | courrier_batiments             | character varying |                       60 | YES
 ad_ch_entr_rcb_p                    | courrier_localite_suisse       | character varying |                       60 | YES
 ad_ch_entr_rcb_p                    | responsable_juridique          | character varying |                      200 | YES
 ad_ch_entr_rcb_p                    | numero_telephone               | character varying |                       20 | YES
 ad_ch_entr_rcb_p                    | adresse_email                  | character varying |                      100 | YES
 ad_ch_entr_rcb_p                    | total_effectif                 | integer           |                          | YES
 ad_ch_entr_rcb_p                    | eff_expl_h_ch                  | integer           |                          | YES
 ad_ch_entr_rcb_p                    | eff_expl_h_etr                 | integer           |                          | YES
 ad_ch_entr_rcb_p                    | eff_expl_f_ch                  | integer           |                          | YES
 ad_ch_entr_rcb_p                    | eff_expl_f_etr                 | integer           |                          | YES
 ad_ch_entr_rcb_p                    | eff_admin_h_ch                 | integer           |                          | YES
 ad_ch_entr_rcb_p                    | eff_admin_h_etr                | integer           |                          | YES
 ad_ch_entr_rcb_p                    | eff_admin_f_ch                 | integer           |                          | YES
 ad_ch_entr_rcb_p                    | eff_admin_f_etr                | integer           |                          | YES
 ad_ch_entr_rcb_p                    | file1                          | character         |                       50 | YES
 ad_ch_entr_rcb_p                    | lien1qgis                      | character         |                      300 | YES
 ad_ch_entr_rcb_p                    | lien1gmf                       | character         |                      300 | YES
 ad_ch_entr_rcb_p                    | file2                          | character         |                       50 | YES
 ad_ch_entr_rcb_p                    | lien2qgis                      | character         |                      300 | YES
 ad_ch_entr_rcb_p                    | lien2gmf                       | character         |                      300 | YES
 ad_ch_entr_rcb_p                    | file3                          | character         |                       50 | YES
 ad_ch_entr_rcb_p                    | lien3qgis                      | character         |                      300 | YES
 ad_ch_entr_rcb_p                    | lien3gmf                       | character         |                      300 | YES
 ad_ch_entr_rcb_p                    | file4                          | character         |                       50 | YES
 ad_ch_entr_rcb_p                    | lien4qgis                      | character         |                      300 | YES
 ad_ch_entr_rcb_p                    | lien4gmf                       | character         |                      300 | YES
 ad_ch_entr_rcb_p                    | maj_date                       | date              |                          | YES
 ad_ch_entr_rcb_p                    | geom                           | USER-DEFINED      |                          | YES
 ad_ch_entr_rcb_p                    | pk_uuid                        | uuid              |                          | NO
